https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009405.pub2/full | Consumer & communication strategies | Cultural competence education for health professionals | Lidia Horvat, Dell Horey, Panayiota Romios, John Kis‐Rigo | 2014-05-05
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007750.pub2/full | Consumer & communication strategies | Different communication strategies for disclosing results of diagnostic prenatal testing | Faris Mujezinovic, Anica Prosnik, Zarko Alfirevic | 2010-11-10
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006777.pub2/full | Consumer & communication strategies | Framing of health information messages | Elie A Akl, Andrew D Oxman, Jeph Herrin, Gunn E Vist, Irene Terrenato, Francesca Sperati, Cecilia Costiniuk, Diana Blank, Holger Schünemann | 2011-12-07
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006776.pub2/full | Consumer & communication strategies | Using alternative statistical formats for presenting risks and risk reductions | Elie A Akl, Andrew D Oxman, Jeph Herrin, Gunn E Vist, Irene Terrenato, Francesca Sperati, Cecilia Costiniuk, Diana Blank, Holger Schünemann | 2011-03-16
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004274.pub4/full | Consumer & communication strategies | Interactive Health Communication Applications for people with chronic disease | Elizabeth Murray, Joanne Burns, Sharon See Tai, Rosalind Lai, Irwin Nazareth | 2005-10-19
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004273.pub2/full | Consumer & communication strategies | Interventions for improving older patients' involvement in primary care episodes | Raymond Wetzels, Mirjam Harmsen, Chris Van Weel, Richard Grol, Michel Wensing | 2007-01-24
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009500.pub2/full | Consumer & communication strategies | Training and supportive programs for palliative care volunteers in community settings | Dell Horey, Annette F Street, Margaret O'Connor, Louise Peters, Susan F Lee | 2015-07-20
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010038.pub3/full | Consumer & communication strategies | Face‐to‐face interventions for informing or educating parents about early childhood vaccination | Jessica Kaufman, Rebecca Ryan, Louisa Walsh, Dell Horey, Julie Leask, Priscilla Robinson, Sophie Hill | 2018-05-08
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008312.pub3/full | Consumer & communication strategies | Strategies for improving adherence to antiepileptic drug treatment in people with epilepsy | Sinaa Al‐aqeel, Olga Gershuni, Jawza Al‐sabhan, Mickael Hiligsmann | 2017-02-03
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011707.pub2/full | Consumer & communication strategies | Different communication strategies for disclosing a diagnosis of schizophrenia and related disorders | Saeed Farooq, Rupinder K Johal, Charlotte Ziff, Farooq Naeem | 2017-10-24
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007982.pub2/full | Consumer & communication strategies | Email for the provision of information on disease prevention and health promotion | Prescilla Sawmynaden, Helen Atherton, Azeem Majeed, Josip Car | 2012-11-14
